*** File created 2020-04-28 09:16:10.872955 ***
*** Log file from biogeme 3.2.5 [2020-04-28]
[09:15:52] < General >   Remove 24 unused variables from the database as only 23 are used.
[09:16:07] < General >   Log likelihood (N=10692):  -7874.978 Gradient norm:      0.009  
[09:16:07] < General >   Log likelihood (N=10692):  -7874.978 Gradient norm:       0.03  
[09:16:07] < General >   Log likelihood (N=10692):  -7874.978 Gradient norm:      0.009  
[09:16:07] < General >   Log likelihood (N=10692):  -7874.978 Gradient norm:      0.004  
[09:16:07] < General >   Log likelihood (N=10692):  -7874.978 Gradient norm:      0.003  
[09:16:07] < General >   Log likelihood (N=10692):  -7874.978 Gradient norm:      0.005  
[09:16:07] < General >   Log likelihood (N=10692):  -7874.978 Gradient norm:      0.009  
[09:16:07] < General >   Log likelihood (N=10692):  -7874.978 Gradient norm:      0.006  
[09:16:07] < General >   Log likelihood (N=10692):  -7874.978 Gradient norm:      0.005  
[09:16:07] < General >   Log likelihood (N=10692):  -7874.978 Gradient norm:      0.005  
[09:16:07] < General >   Log likelihood (N=10692):  -7874.978 Gradient norm:      0.007  
[09:16:08] < General >   Log likelihood (N=10692):  -7874.978 Gradient norm:       0.03  
[09:16:08] < General >   Log likelihood (N=10692):  -7874.978 Gradient norm:       0.01  
[09:16:08] < General >   Log likelihood (N=10692):  -7874.978 Gradient norm:      0.008  
[09:16:08] < General >   Log likelihood (N=10692):  -7874.978 Gradient norm:      0.007  
[09:16:08] < General >   Log likelihood (N=10692):  -7874.978 Gradient norm:       0.02  
[09:16:08] < General >   Log likelihood (N=10692):  -7874.978 Gradient norm:       0.02  
[09:16:08] < General >   Log likelihood (N=10692):  -7874.978 Gradient norm:      0.007  
[09:16:08] < General >   Log likelihood (N=10692):  -7874.978 Gradient norm:      0.007  
[09:16:08] < General >   Log likelihood (N=10692):  -7874.978 Gradient norm:      0.008  
[09:16:08] < General >   Log likelihood (N=10692):  -7874.978 Gradient norm:       0.03  
[09:16:08] < General >   Log likelihood (N=10692):  -7874.978 Gradient norm:       0.02  
[09:16:08] < General >   Log likelihood (N=10692):  -7874.978 Gradient norm:      0.007  
[09:16:08] < General >   Log likelihood (N=10692):  -7874.978 Gradient norm:      0.005  
[09:16:09] < General >   Log likelihood (N=10692):  -7874.978 Gradient norm:      0.005  
[09:16:09] < General >   Log likelihood (N=10692):  -7874.978 Gradient norm:      0.005  
[09:16:09] < General >   Log likelihood (N=10692):  -7874.978 Gradient norm:       0.04  
[09:16:09] < General >   Log likelihood (N=10692):  -7874.978 Gradient norm:      0.009  
[09:16:09] < General >   Log likelihood (N=10692):  -7874.978 Gradient norm:      0.004  
[09:16:09] < General >   Log likelihood (N=10692):  -7874.978 Gradient norm:      0.004  
[09:16:09] < General >   Log likelihood (N=10692):  -7874.978 Gradient norm:      0.003  
[09:16:10] < General >   Log likelihood (N=10692):  -7874.978 Gradient norm:      0.003 Hessian norm:       1e+04 BHHH norm:       1e+04
[09:16:10] < General >   Results saved in file MNL28.html
[09:16:10] < General >   Results saved in file MNL28.pickle
[09:16:10] < General >   Log file created: MNL28.log
